地区,自治体,学校No,学校名,種別,機器No,SN
岐阜地区,岐阜市,1,岐阜小,生徒,0001,H131M3W8
岐阜地区,岐阜市,1,岐阜小,生徒,0002,BR8T46PS
岐阜地区,岐阜市,1,岐阜小,生徒,0003,Q5IY4196
岐阜地区,岐阜市,1,岐阜小,生徒,0004,5PV3NR0A
岐阜地区,岐阜市,1,岐阜小,生徒,0005,HHWIXEI4
岐阜地区,岐阜市,1,岐阜小,生徒,0006,200BU6HU
岐阜地区,岐阜市,1,岐阜小,生徒,0007,LKSYH6AT
岐阜地区,岐阜市,1,岐阜小,生徒,0008,OU3TVIQH
岐阜地区,岐阜市,1,岐阜小,生徒,0009,97X757KJ
岐阜地区,岐阜市,1,岐阜小,生徒,0010,GVOU3RVO
岐阜地区,岐阜市,1,岐阜小,生徒,0011,TMFVSM4N
岐阜地区,岐阜市,1,岐阜小,生徒,0012,Q3T71515
岐阜地区,岐阜市,1,岐阜小,生徒,0013,8UN92WXC
岐阜地区,岐阜市,1,岐阜小,生徒,0014,5GM5P6VE
岐阜地区,岐阜市,1,岐阜小,生徒,0015,AOJ9740N
岐阜地区,岐阜市,1,岐阜小,生徒,0016,64TUQHMI
岐阜地区,岐阜市,1,岐阜小,生徒,0017,DADJ8Z8T
岐阜地区,岐阜市,1,岐阜小,生徒,0018,BR1E4OCM
岐阜地区,岐阜市,1,岐阜小,生徒,0019,PONPOO3U
岐阜地区,岐阜市,1,岐阜小,生徒,0020,9ILP8AJ1
岐阜地区,岐阜市,1,岐阜小,生徒,0021,VHKTSIG0
岐阜地区,岐阜市,1,岐阜小,生徒,0022,7CB7386M
岐阜地区,岐阜市,1,岐阜小,生徒,0023,3VSLNK5R
岐阜地区,岐阜市,1,岐阜小,生徒,0024,SD6J86QB
岐阜地区,岐阜市,1,岐阜小,生徒,0025,89PS5WW5
岐阜地区,岐阜市,1,岐阜小,生徒,0026,4T0LT9RD
岐阜地区,岐阜市,1,岐阜小,生徒,0027,8FXUSDET
岐阜地区,岐阜市,1,岐阜小,生徒,0028,EG3Q6NR3
岐阜地区,岐阜市,1,岐阜小,生徒,0029,62150NXG
岐阜地区,岐阜市,1,岐阜小,生徒,0030,O5RTBHBK
岐阜地区,岐阜市,1,岐阜小,生徒,0031,QJ59STCI
岐阜地区,岐阜市,1,岐阜小,生徒,0032,WIPM9G55
岐阜地区,岐阜市,1,岐阜小,生徒,0033,X19XAJNS
岐阜地区,岐阜市,1,岐阜小,生徒,0034,FMKHL4CR
岐阜地区,岐阜市,1,岐阜小,生徒,0035,EIVSJUSB
岐阜地区,岐阜市,1,岐阜小,生徒,0036,ZV0I6V6X
岐阜地区,岐阜市,1,岐阜小,生徒,0037,1ORQ27RU
岐阜地区,岐阜市,1,岐阜小,生徒,0038,N7NBNSLE
岐阜地区,岐阜市,1,岐阜小,生徒,0039,TT07GKTH
岐阜地区,岐阜市,1,岐阜小,生徒,0040,IZVQ0SLA
岐阜地区,岐阜市,1,岐阜小,生徒,0041,QZWL96GF
岐阜地区,岐阜市,1,岐阜小,生徒,0042,SAEJCMQI
岐阜地区,岐阜市,1,岐阜小,生徒,0043,CL3NDRYQ
岐阜地区,岐阜市,1,岐阜小,生徒,0044,1ZREJMSR
岐阜地区,岐阜市,1,岐阜小,生徒,0045,FMPXUI8S
岐阜地区,岐阜市,1,岐阜小,生徒,0046,5ACA25H1
岐阜地区,岐阜市,1,岐阜小,生徒,0047,RCW2L9DY
岐阜地区,岐阜市,1,岐阜小,生徒,0048,LWMHJQQF
岐阜地区,岐阜市,1,岐阜小,生徒,0049,5A0CJIGE
岐阜地区,岐阜市,1,岐阜小,生徒,0050,3SZAIE3B
岐阜地区,岐阜市,1,岐阜小,生徒,0051,DPIRLHSM
岐阜地区,岐阜市,1,岐阜小,生徒,0052,9N23NGUR
岐阜地区,岐阜市,1,岐阜小,生徒,0053,DMSKJPRG
岐阜地区,岐阜市,1,岐阜小,生徒,0054,00XOP00W
岐阜地区,岐阜市,1,岐阜小,生徒,0055,MU2PQ842
岐阜地区,岐阜市,1,岐阜小,生徒,0056,PZBQYL9M
岐阜地区,岐阜市,1,岐阜小,生徒,0057,WYHA998M
岐阜地区,岐阜市,1,岐阜小,生徒,0058,CCKNVY51
岐阜地区,岐阜市,1,岐阜小,生徒,0059,MPQEGDRT
岐阜地区,岐阜市,1,岐阜小,生徒,0060,WL5ZTN28
岐阜地区,岐阜市,1,岐阜小,生徒,0061,MSWGR94R
岐阜地区,岐阜市,1,岐阜小,生徒,0062,E2HQCIS0
岐阜地区,岐阜市,1,岐阜小,生徒,0063,C7X9DUVY
岐阜地区,岐阜市,1,岐阜小,生徒,0064,HKJXHZER
岐阜地区,岐阜市,1,岐阜小,生徒,0065,I6QNEC5O
岐阜地区,岐阜市,1,岐阜小,生徒,0066,L1XKPYV4
岐阜地区,岐阜市,1,岐阜小,生徒,0067,HOPT5X2V
岐阜地区,岐阜市,1,岐阜小,生徒,0068,W6VBG6LA
岐阜地区,岐阜市,1,岐阜小,生徒,0069,PA3VLF5V
岐阜地区,岐阜市,1,岐阜小,生徒,0070,Z6Y01S4R
岐阜地区,岐阜市,1,岐阜小,生徒,0071,YY1EEP84
岐阜地区,岐阜市,1,岐阜小,生徒,0072,6XTZ3L0N
岐阜地区,岐阜市,1,岐阜小,生徒,0073,28F3TF5D
岐阜地区,岐阜市,1,岐阜小,生徒,0074,BGFJ18D1
岐阜地区,岐阜市,1,岐阜小,生徒,0075,G5H5CT9Q
岐阜地区,岐阜市,1,岐阜小,生徒,0076,6W6N26XP
岐阜地区,岐阜市,1,岐阜小,生徒,0077,4U7Z362C
岐阜地区,岐阜市,1,岐阜小,生徒,0078,LXB3O0PJ
岐阜地区,岐阜市,1,岐阜小,生徒,0079,RLQD3MQV
岐阜地区,岐阜市,1,岐阜小,生徒,0080,OZZHNHSC
岐阜地区,岐阜市,1,岐阜小,生徒,0081,TJXA72G2
岐阜地区,岐阜市,1,岐阜小,生徒,0082,CUBQV5FY
岐阜地区,岐阜市,1,岐阜小,生徒,0083,KCZUEWQS
岐阜地区,岐阜市,1,岐阜小,生徒,0084,T8FXX6CB
岐阜地区,岐阜市,1,岐阜小,生徒,0085,IYII7BTO
岐阜地区,岐阜市,1,岐阜小,生徒,0086,MB4VAT4M
岐阜地区,岐阜市,1,岐阜小,生徒,0087,X362LPKP
岐阜地区,岐阜市,1,岐阜小,生徒,0088,VK1WZOXB
岐阜地区,岐阜市,1,岐阜小,生徒,0089,SEGFDUU4
岐阜地区,岐阜市,1,岐阜小,生徒,0090,X6G5XB92
岐阜地区,岐阜市,1,岐阜小,生徒,0091,TP0FUQ04
岐阜地区,岐阜市,1,岐阜小,生徒,0092,5YRA1TJK
岐阜地区,岐阜市,1,岐阜小,生徒,0093,OMOJVRMX
岐阜地区,岐阜市,1,岐阜小,生徒,0094,9SZ20DAB
岐阜地区,岐阜市,1,岐阜小,生徒,0095,XYJT2YZN
岐阜地区,岐阜市,1,岐阜小,生徒,0096,7P8NNLYC
岐阜地区,岐阜市,1,岐阜小,生徒,0097,BYQATPO8
岐阜地区,岐阜市,1,岐阜小,生徒,0098,V2293CJS
岐阜地区,岐阜市,1,岐阜小,生徒,0099,TXNFGOX5
岐阜地区,岐阜市,1,岐阜小,生徒,0100,HYE16V04
岐阜地区,岐阜市,1,岐阜小,生徒,0101,EGPZ3IJ6
岐阜地区,岐阜市,1,岐阜小,生徒,0102,J7X987AS
岐阜地区,岐阜市,1,岐阜小,生徒,0103,LFY6RGT6
岐阜地区,岐阜市,1,岐阜小,生徒,0104,OMHXHG2F
岐阜地区,岐阜市,1,岐阜小,生徒,0105,JNVY9FKY
岐阜地区,岐阜市,1,岐阜小,生徒,0106,Q7HXJDSK
岐阜地区,岐阜市,1,岐阜小,生徒,0107,Q7YQQ1M5
岐阜地区,岐阜市,1,岐阜小,生徒,0108,J5AP1WLE
岐阜地区,岐阜市,1,岐阜小,生徒,0109,SR9XZ3ED
岐阜地区,岐阜市,1,岐阜小,生徒,0110,MX6O1S9I
岐阜地区,岐阜市,1,岐阜小,生徒,0111,C0LM63RI
岐阜地区,岐阜市,1,岐阜小,生徒,0112,MP6WKZFV
岐阜地区,岐阜市,1,岐阜小,生徒,0113,V0G01SYL
岐阜地区,岐阜市,1,岐阜小,生徒,0114,9HAFVNY4
岐阜地区,岐阜市,1,岐阜小,生徒,0115,I1TESANC
岐阜地区,岐阜市,1,岐阜小,生徒,0116,JU8GXBOY
岐阜地区,岐阜市,1,岐阜小,生徒,0117,ISXXHKSH
岐阜地区,岐阜市,1,岐阜小,生徒,0118,UI06H1J9
岐阜地区,岐阜市,1,岐阜小,生徒,0119,02TG4CLE
岐阜地区,岐阜市,1,岐阜小,生徒,0120,FJXPKA43
岐阜地区,岐阜市,1,岐阜小,生徒,0121,10Q44Z85
岐阜地区,岐阜市,1,岐阜小,生徒,0122,BMI65LOG
岐阜地区,岐阜市,1,岐阜小,生徒,0123,LM0C0PNR
岐阜地区,岐阜市,1,岐阜小,生徒,0124,OHET04J5
岐阜地区,岐阜市,1,岐阜小,生徒,0125,5FWCBHT5
岐阜地区,岐阜市,1,岐阜小,生徒,0126,6NQHIUA2
岐阜地区,岐阜市,1,岐阜小,生徒,0127,2TPICB4I
岐阜地区,岐阜市,1,岐阜小,生徒,0128,I5XQPQ8N
岐阜地区,岐阜市,1,岐阜小,生徒,0129,38BQJYHV
岐阜地区,岐阜市,1,岐阜小,生徒,0130,9DAMUSZM
岐阜地区,岐阜市,1,岐阜小,生徒,0131,BMZZFT2C
岐阜地区,岐阜市,1,岐阜小,生徒,0132,4RMKYF68
岐阜地区,岐阜市,1,岐阜小,生徒,0133,3V6WDI3D
